NODE,SUB_NODE,term,description,term_source,source_ref,  source_url,knowledge_links_URL,knowledge_links_Label,Synonyme,Synonyme_2
Unit,,Roentgen equivalent man,rem,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000140,https://en.wikipedia.org/wiki/Roentgen_equivalent_man,Wikipedia,,
Unit,,formazin nephelometric unit,FNU,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000318,,,,
Unit,,foot candle,ft-c,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000153,https://en.wikipedia.org/wiki/Foot-candle,Wikipedia,,
Unit,,unit per liter,U/l,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000179,,,,
Unit,,international units per litre,IU/L,EXTERNAL,UO,http://purl.org/twc/HHEAR_00008,,,,
Unit,,byte,Byte,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000233,https://en.wikipedia.org/wiki/Byte,Wikipedia,,
Unit,,mebibyte,MiB,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000246,https://en.wikipedia.org/wiki/Byte,Wikipedia,,
Unit,,square centimeter,cm2,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000081,https://en.wikipedia.org/wiki/Square_metre,Wikipedia,,
Unit,,decibel,dB,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000259,https://en.wikipedia.org/wiki/Decibel,Wikipedia,,
Unit,,meter per second,m/s,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000094,https://en.wikipedia.org/wiki/Metre_per_second,Wikipedia,,
Unit,,angstrom,Ang,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000019,https://en.wikipedia.org/wiki/Angstrom,Wikipedia,,
Unit,,centiMorgan,cM,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000326,https://en.wikipedia.org/wiki/Centimorgan,Wikipedia,,
Unit,,kilogram per liter,kg/L,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000174,,,,
Unit,,percent,%,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000187,https://en.wikipedia.org/wiki/Percentage,Wikipedia,,
Unit,,micron pixel,µm pixel,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000241,,,,
Unit,,newton per meter,N/m,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000254,,,,
Unit,,electric field strength unit,Efs,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000267,,,,
Unit,,candela,cd,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000014,https://en.wikipedia.org/wiki/Candela,Wikipedia,,
Unit,,degree Celsius,C,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000027,https://en.wikipedia.org/wiki/Celsius,Wikipedia,,
Unit,,microcurie per milliliter,µcurie/ml,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000321,,,,
Unit,,micrograms per meter cubed,µg/m3,EXTERNAL,UO,http://purl.org/twc/HHEAR_00011,,,,
Unit,,degree Fahrenheit,F,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000195,https://en.wikipedia.org/wiki/Fahrenheit,Wikipedia,,
Unit,,nanogram per milliliter,ng/ml,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000275,,,,
Unit,,milligram,mg,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000022,https://en.wikipedia.org/wiki/Kilogram,Wikipedia,,
Unit,,nanoliter,nl,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000102,https://en.wikipedia.org/wiki/Litre,Wikipedia,,
Unit,,picosecond,ps,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000030,https://en.wikipedia.org/wiki/Picosecond,Wikipedia,,
Unit,,gram per deciliter,g/dl,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000208,,,,
Unit,,femtomole,fmol,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000043,https://en.wikipedia.org/wiki/Mole_(unit),Wikipedia,,
Unit,,mass-to-charge ratio,Th,EXTERNAL,UO,http://purl.obolibrary.org/obo/MS_1000040,https://en.wikipedia.org/wiki/Mass-to-charge_ratio,Wikipedia,,
Unit,,millimolal,mmol/kg,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000069,,,,
Unit,,pascal,Pa,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000110,https://en.wikipedia.org/wiki/Pascal,Wikipedia,,
Unit,,radian,rad,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000123,https://en.wikipedia.org/wiki/Radian,Wikipedia,,
Unit,,roentgen,Roentgen,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000136,https://en.wikipedia.org/wiki/Roentgen,Wikipedia,,
Unit,,katal per cubic meter,kat/m3,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000203,,,,
Unit,,disintegrations per second,dps,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000216,,,,
Unit,,volt-hour,Vh,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000229,,,,
Unit,,micromolar,µM,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000064,https://en.wikipedia.org/wiki/Molar_concentration,Wikipedia,,
Unit,,meter per second per second,m/s2,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000077,https://en.wikipedia.org/wiki/Metre_per_second_squared,Wikipedia,,
Unit,,nanosievert,nSv,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000144,https://en.wikipedia.org/wiki/Sievert,Wikipedia,,
Unit,,plaque forming unit,pfu,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000211,https://en.wikipedia.org/wiki/Plaque-forming_unit,Wikipedia,,
Unit,,picomolal,pmolal,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000072,,,,
Unit,,candela per square meter,cd/m2,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000085,https://en.wikipedia.org/wiki/Candela_per_square_metre,Wikipedia,,
Unit,,milliliter,ml,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000098,https://en.wikipedia.org/wiki/Litre,Wikipedia,,
Unit,,volume percentage,%(v/v),EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000165,,,,
Unit,,unit per milliliter,U/ml,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000178,,,,
Unit,,billion parts per microgram,x109 µL,EXTERNAL,UO,http://purl.org/twc/HHEAR_00007,,,,
Unit,,kibibyte,KiB,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000245,https://en.wikipedia.org/wiki/Byte,Wikipedia,,
Unit,,square meter,m2,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000080,https://en.wikipedia.org/wiki/Square_metre,Wikipedia,,
Unit,,poise,Poise,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000258,https://en.wikipedia.org/wiki/Poise,Wikipedia,,
Unit,,cubic meter per kilogram,m3/kg,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000093,,,,
Unit,,nanometer,nm,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000018,https://en.wikipedia.org/wiki/Nanometre,Wikipedia,,
Unit,,microeinstein per square meter per second,µeinstein/sm2,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000160,,,,
Unit,,gram per milliliter,g/ml,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000173,,,,
Unit,,million parts per microgram,x106 µL,EXTERNAL,UO,http://purl.org/twc/HHEAR_00015,,,,
Unit,,microliter per kilogram,µl/kg,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000199,,,,
Unit,,picograms per milliliter,pg/mL,EXTERNAL,UO,http://www.ebi.ac.uk/efo/EFO_0004385,,,,
Unit,,dots per inch,dpi,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000240,https://en.wikipedia.org/wiki/Dots_per_inch,Wikipedia,,
Unit,,electronvolt,eV,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000266,https://en.wikipedia.org/wiki/Electronvolt,Wikipedia,,
Unit,,mole,mol,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000013,https://en.wikipedia.org/wiki/Mole,Wikipedia,,
Unit,,milliunits per milliliter,mU/ml,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000279,,,,
Unit,,femtogram,fg,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000026,https://en.wikipedia.org/wiki/Orders_of_magnitude_(mass),Wikipedia,,
Unit,,curie per liter,curie/l,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000320,,,,
Unit,,micromole,µmol,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000039,https://en.wikipedia.org/wiki/Mole_(unit),Wikipedia,,
Unit,,enzyme unit,enzyme unit,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000181,https://en.wikipedia.org/wiki/Enzyme_unit,Wikipedia,,
Unit,,micrograms per deciliter,µg/dl,EXTERNAL,UO,http://purl.org/twc/HHEAR_00010,,,,
Unit,,hertz,Hz,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000106,https://en.wikipedia.org/wiki/Hertz,Wikipedia,,
Unit,,microgram per milliliter,µg/ml,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000274,,,,
Unit,,gram,g,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000021,https://en.wikipedia.org/wiki/Gram,Wikipedia,,
Unit,,microliter,µl,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000101,https://en.wikipedia.org/wiki/Litre,Wikipedia,,
Unit,,watt,watt,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000114,https://en.wikipedia.org/wiki/Watt,Wikipedia,,
Unit,,count per molar second,1/Ms,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000282,,,,
Unit,,milliliter per liter,ml/l,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000207,,,,
Unit,,picomole,pmol,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000042,https://en.wikipedia.org/wiki/Mole_(unit),Wikipedia,,
Unit,,molal,mol/kg,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000068,https://en.wikipedia.org/wiki/Molality,Wikipedia,,
Unit,,counts per minute,cpm,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000148,https://en.wikipedia.org/wiki/Counts_per_minute,Wikipedia,,
Unit,,plaque forming unit per milliliter,pfu/ml,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000215,,,,
Unit,,tesla,Tesla,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000228,https://en.wikipedia.org/wiki/Tesla,Wikipedia,,
Unit,,millimolar,mM,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000063,https://en.wikipedia.org/wiki/Molar_concentration,Wikipedia,,
Unit,,mole fraction,chi,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000076,https://en.wikipedia.org/wiki/Mole_fraction,Wikipedia,,
Unit,,cubic meter per mole,m3/mol,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000089,https://en.wikipedia.org/wiki/Molar_volume,Wikipedia,,
Unit,,nanogray,nGy,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000143,https://en.wikipedia.org/wiki/Gray_(unit),Wikipedia,,
Unit,,einstein per square meter per second,einstein/sm2,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000156,,,,
Unit,,parts per million,ppm,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000169,https://en.wikipedia.org/wiki/Parts-per_notation,Wikipedia,,
Unit,,colony forming unit,cfu,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000210,https://en.wikipedia.org/wiki/Colony-forming_unit,Wikipedia,,
Unit,,watt-hour,Wh,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000223,https://en.wikipedia.org/wiki/Kilowatt-hour,Wikipedia,,
Unit,,nanomolal,nmolal,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000071,,,,
Unit,,microvolt,µV,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000249,https://en.wikipedia.org/wiki/Volt,Wikipedia,,
Unit,,gram per cubic centimeter,g/cm3,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000084,https://en.wikipedia.org/wiki/Gram_per_cubic_centimetre,Wikipedia,,
Unit,,kilogram,kg,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000009,https://en.wikipedia.org/wiki/Kilogram,Wikipedia,,
Unit,,cubic centimeter,cm3,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000097,https://en.wikipedia.org/wiki/Cubic_centimetre,Wikipedia,,
Unit,,cells per microliter,cp/µl,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000316,,,,
